,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Karratha,95.0,AU,2020-04-20 03:33:50,51.0,-20.74,116.85,87.69,9.84
1,Karratha,95.0,AU,2020-04-20 03:33:50,51.0,-20.74,116.85,87.69,9.84
2,Dartford,0.0,GB,2020-04-20 03:30:02,81.0,51.44,0.22,46.0,3.36
3,Pamplona,90.0,ES,2020-04-20 03:34:34,93.0,42.82,-1.64,53.01,5.82
4,Katsuura,75.0,JP,2020-04-20 03:34:34,93.0,35.13,140.3,55.4,11.41
5,Puerto Ayora,50.0,EC,2020-04-20 03:34:34,86.0,-0.74,-90.35,80.01,8.01
6,Ohafia,97.0,NG,2020-04-20 03:34:34,87.0,5.62,7.83,74.35,2.95
7,Vaini,40.0,TO,2020-04-20 03:33:39,74.0,-21.2,-175.2,82.4,10.29
8,Cayenne,100.0,GF,2020-04-20 03:30:04,100.0,4.93,-52.33,77.0,3.36
9,Punta Arenas,40.0,CL,2020-04-20 03:34:35,75.0,-53.15,-70.92,42.8,19.46
10,Abnūb,0.0,EG,2020-04-20 03:34:35,51.0,27.27,31.15,60.8,8.05
11,Mildura,99.0,AU,2020-04-20 03:31:21,46.0,-34.2,142.15,73.4,10.29
12,Santa Cruz de Tenerife,75.0,ES,2020-04-20 03:34:36,100.0,28.47,-16.25,57.99,17.22
13,Malanje,44.0,AO,2020-04-20 03:34:36,70.0,-9.54,16.34,62.31,2.77
14,Jamestown,90.0,US,2020-04-20 03:34:36,74.0,42.1,-79.24,39.99,9.17
15,Ushuaia,75.0,AR,2020-04-20 03:34:37,86.0,-54.8,-68.3,39.2,24.16
16,San Cristobal,98.0,VE,2020-04-20 03:34:37,63.0,7.77,-72.22,67.6,1.95
17,Mataura,90.0,NZ,2020-04-20 03:34:38,68.0,-46.19,168.86,57.0,5.99
18,Rikitea,93.0,PF,2020-04-20 03:34:38,71.0,-23.12,-134.97,76.84,6.76
19,Cape Town,75.0,ZA,2020-04-20 03:32:19,77.0,-33.93,18.42,63.0,17.22
20,Road Town,22.0,VG,2020-04-20 03:34:08,82.0,18.42,-64.62,80.01,17.0
21,Atuona,45.0,PF,2020-04-20 03:34:39,75.0,-9.8,-139.03,82.72,12.82
22,Kapaa,20.0,US,2020-04-20 03:34:39,65.0,22.08,-159.32,78.8,10.29
23,Westerland,0.0,DE,2020-04-20 03:34:39,62.0,54.91,8.3,45.19,14.52
24,Saint-Philippe,75.0,RE,2020-04-20 03:34:39,69.0,-21.36,55.77,75.2,9.17
